valor_contribuicao;salario_contribuicao;decimo_terceiro;tipo;ano_mes
555,48;5049,82;N;;200604
450,39;4094,45;N;;200605
450,39;4094,45;N;;200606
450,39;4094,45;N;;200607
450,39;4094,45;N;;200608
450,39;4094,45;N;;200609
450,39;4094,45;N;;200610
450,39;4094,45;N;;200611
332,85;3025,91;S;;200611
813,43;7394,82;N;;200612
527,61;4796,45;N;;200701
527,61;4796,45;N;;200702
527,61;4796,45;N;;200703
527,61;4796,45;N;;200704
527,61;4796,45;N;;200705
527,61;4796,45;N;;200706
568,09;5164,45;N;;200707
568,09;5164,45;N;;200708
568,09;5164,45;N;;200709
568,09;5164,45;N;;200710
568,09;5164,45;N;;200711
588,28;5348;S;;200711
689,62;6269,27;N;;200712
924,71;8406,45;N;;200801
637,62;5796,55;N;;200802
637,62;5796,55;N;;200803
637,62;5796,55;N;;200804
681,73;6197,55;N;;200805
657,87;5980,64;N;;200806
733,63;6669,36;N;;200807
723,08;6573,45;N;;200808
723,08;6573,45;N;;200809
723,08;6573,45;N;;200810
723,08;6573,45;N;;200811
753,51;6850,09;S;;200811
819,35;7448,64;N;;200812
786,43;7149,36;N;;200901
852,69;7751,73;N;;200902
824,66;7496,91;N;;200903
824,66;7496,91;N;;200904
824,66;7496,91;N;;200905
865,56;7868,73;N;;200906
849,2;7720;N;;200907
849,2;7720;N;;200908
849,2;7720;N;;200909
818,35;7439,55;N;;200910
849,2;7720;N;;200911
849,2;7720;S;;200911
862,05;7836,82;N;;200912
849,2;7720;N;;201001
849,2;7720;N;;201002
882,96;8026,91;N;;201003
849,2;7720;N;;201004
849,2;7720;N;;201005
886,2;8056,36;N;;201006
874,48;7949,82;N;;201007
816,18;7419,82;N;;201008
874,48;7949,82;N;;201009
482,27;4384,27;N;;201010
538,94;4899,45;N;;201011
104,4;949,09;S;;201011
417,6;3796,36;N;;201012
417,6;3796,36;N;;201101
417,6;3796,36;N;;201102
417,6;3796,36;N;;201103
417,6;3796,36;N;;201104
417,6;3796,36;N;;201105
417,6;3796,36;N;;201106
417,6;3796,36;N;;201107
417,6;3796,36;N;;201108
417,6;3796,36;N;;201109
417,6;3796,36;N;;201110
417,6;3796,36;N;;201111
417,6;3796,36;S;;201111
417,6;3796,36;N;;201112
417,6;3796,36;N;;201201
417,6;3796,36;N;;201202
417,6;3796,36;N;;201203
449,77;4088,82;N;;201204
448,21;4074,64;N;;201205
448,21;4074,64;N;;201206
448,21;4074,64;N;;201207
448,21;4074,64;N;;201208
448,21;4074,64;N;;201209
448,21;4074,64;N;;201210
448,21;4074,64;N;;201211
448,21;4074,64;S;;201211
448,21;4074,64;N;;201212
458,8;4170,91;N;;201301
458,8;4170,91;N;;201302
458,8;4170,91;N;;201303
458,8;4170,91;N;;201304
553,83;5034,82;N;;201305
2117,8;19252,73;N;;201306
898,78;8170,73;N;;201307
923,14;8392,18;N;;201308
923,14;8392,18;N;;201309
923,14;8392,18;N;;201310
1004,45;9131,36;N;;201311
669,63;6087,55;S;;201311
1475,99;13418,09;N;;201312
1099,82;9998,36;N;;201401
1099,82;9998,36;N;;201402
1099,82;9998,36;N;;201403
1099,82;9998,36;N;;201404
1099,82;9998,36;N;;201405
1099,82;9998,36;N;;201406
1099,82;9998,36;N;;201407
1255,99;11418,09;N;;201408
1099,82;9998,36;N;;201409
1099,82;9998,36;N;;201410
1099,82;9998,36;N;;201411
1099,82;9998,36;S;;201411
1107,68;10069,82;N;;201412
1186,95;10790,45;N;;201501
1186,95;10790,45;N;;201502
1186,95;10790,45;N;;201503
1186,95;10790,45;N;;201504
1186,95;10790,45;N;;201505
1186,95;10790,45;N;;201506
1186,95;10790,45;N;;201507
1186,95;10790,45;N;;201508
1507,61;13705,55;N;;201509
1653,48;15031,64;N;;201510
1626,87;14789,73;N;;201511
1258,84;11444;S;;201511
1258,84;11444;N;;201512
1258,84;11444;N;;201601
1258,84;11444;N;;201602
1258,84;11444;N;;201603
1409,4;12812,73;N;;201604
1296,41;11785,55;N;;201605
1296,41;11785,55;N;;201606
1340,23;12183,91;N;;201607
1421,28;12920,73;N;;201608
1421,28;12920,73;N;;201609
1421,28;12920,73;N;;201610
1475,9;13417,27;N;;201611
1475,9;13417,27;S;;201611
1478,45;13440,45;N;;201612
1475,9;13417,27;N;;201701
1475,9;13417,27;N;;201702
1728,44;15713,09;N;;201703
1560,02;14182;N;;201704
1560,02;14182;N;;201705
1610,92;14644,73;N;;201706
1616,55;14695,91;N;;201707
1610,92;14644,73;N;;201708
1610,92;14644,73;N;;201709
1610,92;14644,73;N;;201710
1691,6;15378,18;N;;201711
1691,6;15378,18;S;;201711
1691,6;15378,18;N;;201712
1691,6;15378,18;N;;201801
1691,6;15378,18;N;;201802
1691,6;15378,18;N;;201803
1894,59;17223,55;N;;201804
1742,35;15839,55;N;;201805
1781,32;16193,82;N;;201806
